,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,TenureByAge,CreditScoreByAge,Geography_France,Geography_Germany,Geography_Spain,Gender_Female,Gender_Male
6252,596,32,3,96709.07,2,0,0,41788.37,0,0.09375,18.625,0,1,0,0,1
4684,623,43,1,0.0,2,1,1,146379.3,0,0.023255813953488372,14.488372093023257,1,0,0,0,1
1731,601,44,4,0.0,2,1,0,58561.31,0,0.09090909090909091,13.659090909090908,0,0,1,1,0
4742,506,59,8,119152.1,2,1,1,170679.74,0,0.13559322033898305,8.576271186440678,0,1,0,0,1
4521,560,27,7,124995.98,1,1,1,114669.79,0,0.25925925925925924,20.74074074074074,0,0,1,1,0
6340,790,37,8,0.0,2,1,1,149418.41,0,0.21621621621621623,21.35135135135135,0,0,1,0,1
576,439,32,3,138901.61,1,1,0,75685.97,0,0.09375,13.71875,0,0,1,1,0
5202,597,22,6,101528.61,1,1,0,70529.0,1,0.2727272727272727,27.136363636363637,0,1,0,1,0
6363,678,40,4,113794.22,1,1,0,16618.76,0,0.1,16.95,0,0,1,1,0
439,464,42,3,85679.25,1,1,1,164104.74,0,0.07142857142857142,11.047619047619047,0,1,0,1,0
2750,481,57,9,0.0,3,1,1,169719.35,1,0.15789473684210525,8.43859649122807,1,0,0,1,0
7487,651,56,4,0.0,1,0,0,84383.22,1,0.07142857142857142,11.625,1,0,0,1,0
5272,850,47,6,0.0,1,1,0,187391.02,1,0.1276595744680851,18.085106382978722,1,0,0,0,1
5653,687,41,2,154007.21,1,1,0,158408.23,0,0.04878048780487805,16.75609756097561,0,1,0,1,0
3999,696,19,1,110928.51,1,1,1,2766.63,0,0.05263157894736842,36.63157894736842,1,0,0,0,1
6033,612,36,5,119799.27,2,1,0,159416.58,0,0.1388888888888889,17.0,0,0,1,1,0
582,586,57,3,0.0,2,0,1,6057.81,0,0.05263157894736842,10.280701754385966,0,0,1,1,0
9930,425,40,9,166776.6,2,0,1,172646.88,0,0.225,10.625,0,1,0,0,1
7051,643,43,1,0.0,2,1,1,145764.4,0,0.023255813953488372,14.953488372093023,0,0,1,0,1
8158,641,37,2,0.0,2,1,0,3939.87,0,0.05405405405405406,17.324324324324323,1,0,0,1,0
9896,795,40,2,101891.1,1,1,1,183044.86,0,0.05,19.875,1,0,0,1,0
2249,762,35,9,0.0,2,1,1,43075.7,0,0.2571428571428571,21.771428571428572,1,0,0,0,1
4640,687,44,9,0.0,2,0,0,103042.2,1,0.20454545454545456,15.613636363636363,1,0,0,1,0
9485,850,37,4,88141.1,1,1,0,109659.12,0,0.10810810810810811,22.972972972972972,0,0,1,0,1
4947,753,62,6,0.0,2,1,1,136398.9,0,0.0967741935483871,12.14516129032258,1,0,0,1,0
9920,678,49,3,204510.94,1,0,1,738.88,1,0.061224489795918366,13.83673469387755,1,0,0,1,0
1963,578,34,8,147487.23,2,1,0,66680.77,0,0.23529411764705882,17.0,0,1,0,0,1
8243,825,29,3,148874.01,2,0,1,71192.82,0,0.10344827586206896,28.448275862068964,1,0,0,0,1
6590,696,30,0,0.0,2,1,1,9002.8,0,0.0,23.2,0,0,1,1,0
8847,457,40,10,134320.23,2,1,0,150757.35,0,0.25,11.425,1,0,0,0,1
321,680,30,8,141441.75,1,1,1,16278.97,0,0.26666666666666666,22.666666666666668,1,0,0,1,0
2678,819,38,10,0.0,2,1,0,30498.7,0,0.2631578947368421,21.55263157894737,1,0,0,1,0
4625,510,45,10,103821.47,2,0,1,77878.62,0,0.2222222222222222,11.333333333333334,1,0,0,1,0
4949,567,36,1,0.0,2,0,0,8555.73,0,0.027777777777777776,15.75,1,0,0,0,1
8328,638,34,5,146679.77,1,1,0,102179.86,0,0.14705882352941177,18.764705882352942,0,0,1,0,1
3337,579,56,4,99340.83,1,0,0,4523.74,1,0.07142857142857142,10.339285714285714,0,0,1,0,1
5589,715,37,9,105489.31,1,0,0,143096.49,1,0.24324324324324326,19.324324324324323,0,1,0,1,0
251,587,34,1,0.0,2,1,1,97932.68,0,0.029411764705882353,17.264705882352942,0,0,1,1,0
3973,711,38,3,128718.78,1,0,0,114793.45,0,0.07894736842105263,18.710526315789473,0,0,1,0,1
6630,741,36,3,0.0,2,1,1,89804.83,0,0.08333333333333333,20.583333333333332,1,0,0,1,0
5547,688,38,7,148045.68,1,1,0,175479.92,1,0.18421052631578946,18.105263157894736,1,0,0,0,1
35,475,45,0,134264.04,1,1,0,27822.99,1,0.0,10.555555555555555,1,0,0,1,0
8362,567,36,7,0.0,2,0,1,3896.08,0,0.19444444444444445,15.75,1,0,0,0,1
1513,440,42,2,0.0,2,1,0,49826.68,0,0.047619047619047616,10.476190476190476,1,0,0,0,1
9317,741,42,6,106036.52,1,1,0,194686.78,1,0.14285714285714285,17.642857142857142,1,0,0,0,1
39,582,41,6,70349.48,2,0,1,178074.04,0,0.14634146341463414,14.195121951219512,0,1,0,0,1
4819,613,26,4,100446.57,1,0,1,149653.81,0,0.15384615384615385,23.576923076923077,1,0,0,0,1
3465,692,43,2,69014.49,2,0,0,164621.43,0,0.046511627906976744,16.093023255813954,0,1,0,1,0
1760,521,38,5,110641.18,1,0,1,136507.69,1,0.13157894736842105,13.710526315789474,1,0,0,0,1
2304,759,35,7,147936.42,1,1,1,106785.7,0,0.2,21.685714285714287,0,0,1,1,0
3723,715,42,2,88120.97,2,1,1,21333.22,0,0.047619047619047616,17.023809523809526,0,1,0,0,1
8284,711,39,3,152462.79,1,1,0,90305.97,0,0.07692307692307693,18.23076923076923,1,0,0,1,0
4993,554,44,6,92436.86,1,1,0,126033.9,0,0.13636363636363635,12.590909090909092,1,0,0,1,0
8127,651,35,8,110067.71,1,1,0,127678.95,1,0.22857142857142856,18.6,0,1,0,0,1
3032,495,45,3,89158.94,3,1,0,135169.76,1,0.06666666666666667,11.0,0,0,1,1,0
7938,805,39,2,0.0,1,0,0,166650.32,0,0.05128205128205128,20.641025641025642,1,0,0,0,1
3039,829,26,8,101440.36,2,1,1,19324.5,0,0.3076923076923077,31.884615384615383,0,0,1,1,0
9655,583,40,4,55776.39,2,1,0,26920.43,0,0.1,14.575,1,0,0,1,0
2545,686,43,0,0.0,1,1,1,170072.9,0,0.0,15.953488372093023,1,0,0,1,0
2592,505,40,6,47869.69,2,1,1,155061.97,0,0.15,12.625,0,1,0,0,1
1188,528,30,2,128262.72,2,1,0,50771.16,0,0.06666666666666667,17.6,1,0,0,0,1
7966,677,34,4,0.0,2,1,1,6175.53,0,0.11764705882352941,19.91176470588235,0,0,1,1,0
6077,660,37,2,133200.09,1,0,0,71433.88,0,0.05405405405405406,17.83783783783784,0,1,0,1,0
107,785,36,2,99806.85,1,0,1,36976.52,0,0.05555555555555555,21.805555555555557,0,1,0,1,0
1315,607,27,5,100912.19,1,0,0,7631.27,0,0.18518518518518517,22.48148148148148,0,0,1,1,0
8187,603,39,5,162390.52,2,1,0,54702.66,0,0.1282051282051282,15.461538461538462,0,0,1,1,0
2753,480,28,6,0.0,2,0,0,48131.92,0,0.21428571428571427,17.142857142857142,1,0,0,1,0
9753,656,68,7,153545.11,1,1,1,186574.68,0,0.10294117647058823,9.647058823529411,0,1,0,0,1
6231,631,48,1,106396.48,1,1,1,150661.42,1,0.020833333333333332,13.145833333333334,0,1,0,0,1
2876,604,35,7,147285.52,1,1,1,57807.05,0,0.2,17.257142857142856,0,0,1,1,0
5323,622,32,5,179305.09,1,1,1,149043.78,0,0.15625,19.4375,1,0,0,0,1
799,601,42,9,133636.16,1,0,1,103315.74,0,0.21428571428571427,14.30952380952381,0,1,0,1,0
3570,674,46,2,174701.05,1,1,0,90189.72,1,0.043478260869565216,14.652173913043478,1,0,0,0,1
