,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,TenureByAge,CreditScoreByAge,Geography_France,Geography_Germany,Geography_Spain,Gender_Female,Gender_Male
9254,686,32,6,0.0,2,1,1,179093.26,0,0.1875,21.4375,1,0,0,0,1
1561,632,42,4,119624.6,2,1,1,195978.86,0,0.09523809523809523,15.047619047619047,0,1,0,0,1
1670,559,24,3,114739.92,1,1,0,85891.02,1,0.125,23.291666666666668,0,0,1,0,1
6087,561,27,9,135637.0,1,1,0,153080.4,1,0.3333333333333333,20.77777777777778,1,0,0,1,0
6669,517,56,9,142147.32,1,0,0,39488.04,1,0.16071428571428573,9.232142857142858,1,0,0,0,1
5933,569,41,4,120243.49,1,1,0,163150.03,1,0.0975609756097561,13.878048780487806,1,0,0,0,1
8829,683,40,1,0.0,2,0,0,75762.0,0,0.025,17.075,1,0,0,1,0
7945,759,45,8,0.0,2,1,1,99251.24,0,0.17777777777777778,16.866666666666667,1,0,0,1,0
3508,426,34,3,0.0,2,1,1,61230.83,0,0.08823529411764706,12.529411764705882,1,0,0,1,0
2002,601,74,2,0.0,2,0,1,51554.58,0,0.02702702702702703,8.121621621621621,1,0,0,0,1
5866,735,53,8,123845.36,2,0,1,170454.93,1,0.1509433962264151,13.867924528301886,1,0,0,1,0
168,667,39,2,0.0,2,1,0,40721.24,1,0.05128205128205128,17.102564102564102,0,0,1,1,0
2588,741,32,5,0.0,1,1,1,64839.23,0,0.15625,23.15625,1,0,0,0,1
5905,511,30,5,0.0,2,1,0,143994.86,0,0.16666666666666666,17.033333333333335,1,0,0,1,0
9529,508,41,5,0.0,2,1,1,94170.84,0,0.12195121951219512,12.390243902439025,1,0,0,1,0
6384,529,31,7,0.0,2,1,1,175697.87,0,0.22580645161290322,17.06451612903226,1,0,0,1,0
7824,673,44,8,133444.97,1,0,1,5708.19,0,0.18181818181818182,15.295454545454545,1,0,0,1,0
9779,515,40,10,121355.99,1,1,0,138360.29,0,0.25,12.875,0,0,1,0,1
4629,850,49,8,98649.55,1,1,0,119174.88,1,0.16326530612244897,17.346938775510203,0,1,0,0,1
8560,627,28,5,71097.23,1,1,1,130504.49,0,0.17857142857142858,22.392857142857142,0,1,0,0,1
9291,636,36,5,117559.05,2,1,1,111573.3,0,0.1388888888888889,17.666666666666668,1,0,0,0,1
6874,798,28,3,0.0,2,1,0,2305.27,0,0.10714285714285714,28.5,1,0,0,0,1
6521,700,35,4,95853.39,2,1,0,192933.37,0,0.11428571428571428,20.0,0,1,0,0,1
8979,514,35,3,121030.9,1,1,0,10008.68,0,0.08571428571428572,14.685714285714285,1,0,0,0,1
6647,713,37,8,0.0,1,1,1,16403.41,0,0.21621621621621623,19.27027027027027,1,0,0,1,0
9825,467,28,10,126315.26,1,1,0,32349.29,1,0.35714285714285715,16.678571428571427,0,1,0,0,1
210,689,33,2,161814.64,2,1,0,169381.9,0,0.06060606060606061,20.87878787878788,0,1,0,0,1
5278,510,31,0,113688.63,1,1,0,33099.41,1,0.0,16.451612903225808,0,1,0,0,1
1919,618,56,7,0.0,1,1,1,142400.27,1,0.125,11.035714285714286,1,0,0,0,1
718,474,45,10,0.0,2,0,0,172175.9,0,0.2222222222222222,10.533333333333333,1,0,0,0,1
4868,754,37,6,0.0,1,1,1,116141.72,0,0.16216216216216217,20.37837837837838,1,0,0,0,1
7834,703,56,9,0.0,1,0,0,85547.33,1,0.16071428571428573,12.553571428571429,1,0,0,0,1
1298,683,30,10,57657.49,1,0,0,79240.9,0,0.3333333333333333,22.766666666666666,1,0,0,0,1
9193,597,26,8,149989.39,1,1,0,42330.58,0,0.3076923076923077,22.96153846153846,1,0,0,1,0
4617,812,24,10,0.0,2,1,1,156906.15,0,0.4166666666666667,33.833333333333336,1,0,0,0,1
3128,832,34,6,138190.13,2,0,1,146511.2,0,0.17647058823529413,24.470588235294116,0,0,1,1,0
9795,506,43,2,0.0,2,1,0,105568.6,0,0.046511627906976744,11.767441860465116,1,0,0,0,1
3979,685,40,7,0.0,1,1,0,72852.74,1,0.175,17.125,1,0,0,1,0
9924,632,50,5,107959.39,1,1,1,6985.34,1,0.1,12.64,0,1,0,1,0
8317,666,27,4,0.0,2,0,0,88751.45,0,0.14814814814814814,24.666666666666668,1,0,0,1,0
4393,775,38,6,179886.41,2,0,0,153122.58,0,0.15789473684210525,20.394736842105264,0,1,0,1,0
1287,698,39,9,161993.89,1,0,0,90212.38,0,0.23076923076923078,17.897435897435898,0,0,1,1,0
4355,657,39,4,80293.81,1,1,0,97192.76,0,0.10256410256410256,16.846153846153847,1,0,0,1,0
7013,748,34,8,0.0,2,1,0,53584.03,0,0.23529411764705882,22.0,1,0,0,1,0
3885,642,56,6,103244.86,2,1,0,143049.72,1,0.10714285714285714,11.464285714285714,0,1,0,1,0
5749,844,29,8,0.0,2,0,0,147342.03,0,0.27586206896551724,29.103448275862068,1,0,0,1,0
9169,766,45,6,0.0,2,0,0,147184.74,0,0.13333333333333333,17.022222222222222,1,0,0,1,0
2407,708,43,0,118994.84,1,1,0,181499.77,1,0.0,16.46511627906977,0,1,0,1,0
2013,705,35,4,136496.12,2,1,0,116672.02,0,0.11428571428571428,20.142857142857142,0,1,0,0,1
5153,695,29,9,0.0,2,1,0,111565.45,0,0.3103448275862069,23.96551724137931,1,0,0,1,0
8551,507,32,7,0.0,2,1,0,67926.18,0,0.21875,15.84375,0,0,1,0,1
4376,614,34,5,0.0,2,1,0,185561.89,0,0.14705882352941177,18.058823529411764,1,0,0,1,0
8822,543,64,4,0.0,2,1,1,148305.82,0,0.0625,8.484375,1,0,0,0,1
4273,562,75,5,87140.85,1,1,1,39351.64,0,0.06666666666666667,7.493333333333333,1,0,0,0,1
5825,607,62,8,108004.64,1,1,1,23386.77,1,0.12903225806451613,9.790322580645162,0,0,1,1,0
6699,709,41,3,150300.65,2,1,0,71672.86,0,0.07317073170731707,17.29268292682927,1,0,0,1,0
7243,634,77,5,0.0,2,1,1,161579.85,0,0.06493506493506493,8.233766233766234,1,0,0,0,1
449,778,47,6,127299.34,2,1,0,124694.99,0,0.1276595744680851,16.5531914893617,0,0,1,1,0
2227,633,58,6,98308.51,1,1,1,132034.13,0,0.10344827586206896,10.913793103448276,0,0,1,0,1
5756,645,28,7,117466.03,2,1,1,34490.06,0,0.25,23.035714285714285,0,1,0,0,1
810,618,35,10,0.0,2,1,0,180439.75,0,0.2857142857142857,17.65714285714286,1,0,0,1,0
4180,607,36,10,106702.94,2,0,0,198313.69,0,0.2777777777777778,16.86111111111111,0,1,0,0,1
9000,616,37,9,0.0,1,1,0,111312.96,0,0.24324324324324326,16.64864864864865,1,0,0,0,1
5438,679,34,7,160515.37,1,1,0,121904.14,0,0.20588235294117646,19.970588235294116,1,0,0,0,1
7533,630,51,0,108449.23,3,0,0,88372.69,1,0.0,12.352941176470589,0,1,0,1,0
6369,646,38,2,0.0,2,0,0,178752.73,0,0.05263157894736842,17.0,1,0,0,1,0
8416,528,32,2,99092.45,1,0,1,111149.98,0,0.0625,16.5,0,1,0,0,1
1477,776,37,2,0.0,1,0,1,8065.0,0,0.05405405405405406,20.972972972972972,1,0,0,0,1
1790,697,74,3,108071.36,2,1,1,16445.79,0,0.04054054054054054,9.41891891891892,0,1,0,1,0
2008,639,43,6,99610.92,2,1,0,187296.78,0,0.13953488372093023,14.86046511627907,1,0,0,0,1
682,651,41,4,133432.59,1,0,1,151303.48,0,0.0975609756097561,15.878048780487806,0,1,0,1,0
2816,683,25,4,0.0,2,1,0,152698.24,0,0.16,27.32,1,0,0,0,1
9431,523,24,5,172231.93,1,0,1,155144.12,0,0.20833333333333334,21.791666666666668,0,0,1,1,0
3774,850,61,1,0.0,1,1,0,53067.83,1,0.01639344262295082,13.934426229508198,1,0,0,0,1
6495,617,39,5,83348.89,3,1,0,7953.62,1,0.1282051282051282,15.820512820512821,0,1,0,1,0
8878,645,47,9,152076.93,1,1,0,121840.2,1,0.19148936170212766,13.72340425531915,0,1,0,0,1
7361,692,36,4,0.0,1,1,0,185580.89,1,0.1111111111111111,19.22222222222222,1,0,0,1,0
8366,637,41,2,0.0,2,0,1,102515.42,0,0.04878048780487805,15.536585365853659,1,0,0,0,1
7474,704,50,4,165438.26,1,1,0,120770.75,1,0.08,14.08,1,0,0,0,1
46,829,27,9,112045.67,1,1,1,119708.21,1,0.3333333333333333,30.703703703703702,0,1,0,1,0
30,591,39,3,0.0,3,1,0,140469.38,1,0.07692307692307693,15.153846153846153,0,0,1,1,0
8250,850,35,9,0.0,2,0,0,25329.48,0,0.2571428571428571,24.285714285714285,1,0,0,1,0
6935,670,33,1,0.0,2,1,1,86413.11,0,0.030303030303030304,20.303030303030305,1,0,0,0,1
1468,691,52,3,0.0,1,1,0,175843.68,1,0.057692307692307696,13.288461538461538,1,0,0,0,1
1665,749,42,1,129776.72,2,0,1,143538.51,0,0.023809523809523808,17.833333333333332,1,0,0,0,1
1416,585,33,8,0.0,2,1,0,114182.07,0,0.24242424242424243,17.727272727272727,0,0,1,1,0
6480,679,24,6,114948.76,2,0,1,135768.25,0,0.25,28.291666666666668,1,0,0,1,0
4852,687,35,3,0.0,2,1,1,176450.19,0,0.08571428571428572,19.62857142857143,0,0,1,0,1
2470,689,31,3,139799.63,1,0,1,120663.57,0,0.0967741935483871,22.225806451612904,0,0,1,1,0
4373,546,45,2,0.0,1,0,0,197789.83,1,0.044444444444444446,12.133333333333333,0,0,1,1,0
8524,711,34,6,0.0,2,1,1,175310.38,0,0.17647058823529413,20.91176470588235,1,0,0,1,0
429,568,40,1,99282.63,1,0,0,134600.94,1,0.025,14.2,0,1,0,0,1
5244,672,43,5,0.0,2,1,1,64515.5,0,0.11627906976744186,15.627906976744185,0,0,1,0,1
2119,690,29,5,0.0,2,1,0,108577.97,0,0.1724137931034483,23.79310344827586,1,0,0,0,1
385,560,66,9,0.0,1,1,1,15928.49,0,0.13636363636363635,8.484848484848484,1,0,0,1,0
1945,734,22,5,130056.23,1,0,0,121894.31,1,0.22727272727272727,33.36363636363637,1,0,0,0,1
4224,767,47,2,0.0,1,1,0,48161.18,1,0.0425531914893617,16.319148936170212,0,0,1,0,1
